nct_number,study_title,phase,enrollment,funder_type,sponsor,start_date,completion_date,duration_months,start_year,allocation,masking,primary_purpose,intervention_model,is_multinational,country_count,scope
NCT00162175,PPAR-COMBO With Sulfonylurea,Phase 3,534,INDUSTRY,Bristol-Myers Squibb,2003-07-01,2005-11-01,28.1,2003.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,1,15,Multinational
NCT07169981,Effect of Empagliflozin 10 vs 25 mg on LV Remodeling in Diabetic Patients With Anterior STEMI With Reduced LVEF,Phase 2,200,OTHER,Ain Shams University,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01252810,Safety Study of GE-145 320 mg I/mL Injection vs. Iopamidol 370 mg I/mL in Elderly Subjects Undergoing Coronary Procedure,Phase 2,284,INDUSTRY,GE Healthcare,2010-11-01,2012-12-01,25.0,2010.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",DIAGNOSTIC,PARALLEL,0,1,Single Country
NCT04022993,Efficacy and Safety of Insulin RinGlar® Compared to Lantus® SoloStar® in Type 1 Diabetes Mellitus Patients,Phase 3,180,INDUSTRY,Geropharm,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT04023344,Efficacy and Safety of Insulin Lispro Biphasic 25 Compared to Humalog® Mix 25 in Type 2 Diabetes Mellitus Patients,Phase 3,210,INDUSTRY,Geropharm,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT03352674,Immunogenicity Study of Insulin Glargine Ezelin vs Lantus in Type 2 Diabetes Mellitus Patients,Phase 2,133,OTHER,Indonesia University,2016-09-01,,,2016.0,RANDOMIZED,SINGLE (PARTICIPANT),TREATMENT,PARALLEL,0,1,Single Country
NCT01507038,Safety and Efficacy of YH14617 in Diabetes Mellitus,Phase 2,84,INDUSTRY,Yuhan Corporation,2011-12-01,2015-02-01,38.0,2011.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01377844,Efficacy and Safety of EGT0001442 in Patients With Type 2 Diabetes Mellitus,Phase 2,288,INDUSTRY,Theracos,2011-12-01,2013-12-01,24.0,2011.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00761852,Signaling Mechanisms and Vascular Function in Diabetes Mellitus,Phase 2/3,30,OTHER,Brigham and Women's Hospital,1999-05-01,2007-10-01,101.0,1999.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",BASIC_SCIENCE,CROSSOVER,0,0,Single Country
NCT06952231,Effect of Sitagliptin and Empagliflozin in Combination With Metformin on Hs-CRP Levels in Patients With Type 2 Diabetes Mellitus,Phase 3,50,OTHER,University of Lahore,,,,,RANDOMIZED,NONE,DIAGNOSTIC,PARALLEL,0,1,Single Country
NCT01162876,A Clinical Pharmacology Study of Saxagliptin in Patients With Type 2 Diabetes Mellitus,Phase 3,20,INDUSTRY,"Kyowa Kirin Co., Ltd.",2010-07-01,2010-11-01,4.0,2010.0,,NONE,OTHER,SINGLE_GROUP,0,1,Single Country
NCT00621868,A Study of ASP1941 in Participants With Type 2 Diabetes Mellitus,Phase 2,361,INDUSTRY,Astellas Pharma Inc,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00610038,Efficacy and Safety Study of Sulfonylureas in Neonatal Diabetes Mellitus,Phase 2,19,OTHER,Assistance Publique - Hôpitaux de Paris,2006-07-01,2011-12-01,65.0,2006.0,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT05207995,The Treatment of Patients With Type 1 Diabetes Mellitus With Autologous Tolerogenic Dendritic Cells,Phase 1/2,32,OTHER_GOV,Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus,,,,,NON_RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT03208309,Effect of Diacerein in the Metabolic Control of Patients With DM Type 2 and Secondary Failure to Metformin,Phase 2,40,INDUSTRY,ANS Pharma,2013-01-01,2015-12-01,35.0,2013.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01005498,Comparison Between Low Carbohydrate Diet and Traditionally Recommended Diabetic Diet in the Treatment of Diabetes Mellitus Type 2.,Phase 1/2,61,OTHER,Vårdcentralen Lyckorna,2009-03-01,2011-12-01,33.0,2009.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00762671,Signaling Mechanisms and Vascular Function in Patients With Diabetes Mellitus,Phase 2/3,60,OTHER,Brigham and Women's Hospital,1999-05-01,2007-10-01,101.0,1999.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",BASIC_SCIENCE,CROSSOVER,0,1,Single Country
NCT01781975,Imatinib Treatment in Recent Onset Type 1 Diabetes Mellitus,Phase 2,67,OTHER,"University of California, San Francisco",2014-01-01,2018-05-01,51.9,2014.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,1,2,Multinational
NCT00349427,A Study Of Rosiglitazone Plus Insulin To Treat Type 2 Diabetes Mellitus Patients,Phase 3,256,INDUSTRY,GlaxoSmithKline,2005-10-01,,,2005.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00763022,Efficacy of TAK-559 in Treating Subjects With Type 2 Diabetes Mellitus,Phase 3,302,INDUSTRY,Takeda,2003-11-01,2004-12-01,13.0,2003.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT00331487,Study to Compare Pioglitazone and Rosiglitazone in Subjects With Type 2 Diabetes Mellitus and Dyslipidemia,Phase 3,719,INDUSTRY,Takeda,2000-09-01,2004-03-01,42.0,2000.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT03421379,A Study of Nasal Glucagon (LY900018) in Japanese Participants With Diabetes Mellitus,Phase 3,75,INDUSTRY,Eli Lilly and Company,,,,,RANDOMIZED,NONE,TREATMENT,CROSSOVER,0,1,Single Country
NCT00770952,Efficacy of Pioglitazone and Glimepiride Combination Therapy in Treating Subjects With Type 2 Diabetes Mellitus.,Phase 3,91,INDUSTRY,Takeda,2006-12-01,2008-12-01,24.0,2006.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT02689362,Evogliptin in Type 2 Diabetes Mellitus (EVOLUTION: EVOgLiptina no Diabetes Mellitus TIpO 2),Phase 2,146,INDUSTRY,Eurofarma Laboratorios S.A.,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00135941,Insulin Glargine Plus Insulin Glulisine Multiple Daily Injections (MDI) Versus Premix Insulin Treatment in Subjects With Diabetes Mellitus (Type 1 or Type 2),Phase 3,582,INDUSTRY,Sanofi,2005-08-01,2007-09-01,25.0,2005.0,RANDOMIZED,NONE,TREATMENT,CROSSOVER,0,1,Single Country
NCT00770640,Efficacy of Pioglitazone and Insulin in Treating Subjects With Type 2 Diabetes Mellitus and Renal Failure.,Phase 2,40,INDUSTRY,Takeda,2008-08-01,2010-06-01,22.0,2008.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00286494,Study of Alogliptin Combined With Pioglitazone in Subjects With Type 2 Diabetes Mellitus,Phase 3,493,INDUSTRY,Takeda,2006-02-01,2007-08-01,17.9,2006.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,14,Multinational
NCT03113110,Empagliflozin in Post-Transplantation Diabetes Mellitus,Phase 2,16,OTHER,Medical University of Vienna,,,,,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00521742,Efficacy of Pioglitazone Compared to Glyburide in Treating Subjects With Type 2 Diabetes Mellitus and Mild Cardiac Disease,Phase 3,300,INDUSTRY,Takeda,2001-03-01,2003-01-01,22.0,2001.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT00432276,Efficacy of Alogliptin and Pioglitazone in Subjects With Type 2 Diabetes Mellitus,Phase 3,803,INDUSTRY,Takeda,2007-01-01,2009-06-01,29.0,2007.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00653185,Efficacy of SYR-472 in Subjects With Type 2 Diabetes Mellitus,Phase 2,369,INDUSTRY,Takeda,2007-05-01,2008-03-01,10.0,2007.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,12,Multinational
NCT00225277,Efficacy Study of Pioglitazone Compared to Glimepiride on Coronary Atherosclerotic Disease Progression in Subjects With Type 2 Diabetes Mellitus,Phase 3,547,INDUSTRY,Takeda,2003-07-01,2007-10-01,51.0,2003.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,4,Multinational
NCT00760344,Efficacy and Safety of SYR-472 in Subjects With Type 2 Diabetes Mellitus,Phase 2,386,INDUSTRY,Takeda,2007-03-01,2008-03-01,12.0,2007.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,2,Multinational
NCT02221323,A Trial to Compare the PK and PD of Insulin Lispro Administered Into Different Tissues in Subjects With Diabetes Mellitus Type 1,Phase 2,18,INDUSTRY,Profil Institut für Stoffwechselforschung GmbH,2014-09-01,2014-11-01,2.0,2014.0,RANDOMIZED,NONE,BASIC_SCIENCE,SINGLE_GROUP,0,1,Single Country
NCT01814748,A Study of the Safety and Efficacy of Omarigliptin (MK-3102) in ≥18 and <45 Year-Old Participants With Type 2 Diabetes Mellitus and Inadequate Glycemic Control (MK-3102-028),Phase 3,203,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT04124484,DBPR108 Tablets in Type 2 Diabetes Mellitus Patients,Phase 2,276,INDUSTRY,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01008163,"A Dose-Finding, Efficacy and Safety Study of YY-351 in Patients With Type 2 Diabetes",Phase 2,72,INDUSTRY,"Yuyu Pharma, Inc.",2008-01-01,2009-06-01,17.0,2008.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT04209075,Prebiotics and Metformin Improve Gut and Hormones in Type 2 Diabetes in Youth (MIGHTY-fiber),Phase 2,6,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,CROSSOVER,0,1,Single Country
NCT01452451,"Safety, Tolerability, Pharmacokinetics,Pharmacodynamics Study of LAPS-Exendin in Subjects of Type 2 Diabetes Mellitus",Phase 2,72,INDUSTRY,Hanmi Pharmaceutical Company Limited,2011-12-01,,,2011.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT05360147,Liraglutide Improve Cognitive Function in Patients With Type 2 Diabetes Mellitus,Phase 3,30,OTHER,Third Military Medical University,,,,,RANDOMIZED,SINGLE (OUTCOMES_ASSESSOR),TREATMENT,PARALLEL,0,1,Single Country
NCT02691247,Safety and Efficacy of CLBS03 in Adolescents With Recent Onset Type 1 Diabetes (The Sanford Project T-Rex Study),Phase 2,113,INDUSTRY,"Lisata Therapeutics, Inc.",2016-02-01,2020-01-01,47.0,2016.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,FACTORIAL,0,1,Single Country
NCT02537470,Safety and Efficacy of Biphasic Remogliflozin Etabonate in the Treatment of Type 2 Diabetes,Phase 2,191,INDUSTRY,BHV Pharma,2015-07-01,2016-08-01,13.0,2015.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00057304,"Study to Determine the Efficacy, Safety, Tolerability & Pharmacokinetics of RO 205-2349 in Patients With Type 2 Diabetes Mellitus",Phase 2,190,INDUSTRY,Hoffmann-La Roche,2003-06-01,2004-03-01,9.0,2003.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,9,Multinational
NCT05467514,Effect of Liraglutide on Subclinical Atherosclerosis in Patients With Type 1 Diabetes Mellitus,Phase 3,35,OTHER_GOV,David Sanchez Garcia,,,,,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00814294,Study of Two Doses of Oral HDV-Insulin and Placebo With Background Metformin Treatment in Patients With Type 2 Diabetes Mellitus,Phase 2/3,239,INDUSTRY,Diasome Pharmaceuticals,2008-12-01,2009-09-01,9.0,2008.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00306384,Long-term Safety of Alogliptin in Patients With Type 2 Diabetes Mellitus,Phase 3,3323,INDUSTRY,Takeda,2006-03-01,2011-11-01,68.0,2006.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,12,Multinational
NCT02229383,Phase III Study to Evaluate Safety and Efficacy of Added Exenatide Versus Placebo to Titrated Basal Insulin Glargine in Inadequately Controlled Patients With Type II Diabetes Mellitus,Phase 3,464,INDUSTRY,AstraZeneca,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,6,Multinational
NCT00395512,Efficacy of Alogliptin With Pioglitazone (Actos®) in Subjects With Type 2 Diabetes Mellitus,Phase 3,655,INDUSTRY,Takeda,2006-11-01,2008-02-01,15.0,2006.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,23,Multinational
NCT00762736,Efficacy and Safety of Pioglitazone and Azilsartan in Treating Subjects With Type 2 Diabetes Mellitus,Phase 2,704,INDUSTRY,Takeda,2004-07-01,2005-10-01,15.0,2004.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,5,Multinational
NCT00108004,Clinical Utility and Safety of Pramlintide in Subjects With Type 1 and Type 2 Diabetes Mellitus,Phase 3,400,INDUSTRY,AstraZeneca,2003-04-01,2005-06-01,26.0,2003.0,NON_RANDOMIZED,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT04932213,Effect of Tropicamide 0.5% vs Tropicamide 1% on Intraocular Pressure of Diabetic Patients,Phase 3,98,OTHER,Semnan University of Medical Sciences,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT06912035,"Efficacy of Diacerein Supplementation on Interleukin-1β, Hs-CRP, TNF-α Levels and Glycemic Control in Uncontrolled Type 2 Diabetes Mellitus Patients at Dr. Mohammad Hoesin General Hospital Palembang",Phase 2/3,34,OTHER,Universitas Sriwijaya,,,,,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00467376,"Insulin Glulisine, Insulin Lispro and Insulin Glargine in Type 1 or 2 Diabetes Mellitus",Phase 3,485,INDUSTRY,Sanofi,2007-01-01,,,2007.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00980356,Vildagliptin in New Onset Diabetes After Transplantation,Phase 2,32,OTHER,Medical University of Vienna,2009-09-01,2012-12-01,39.0,2009.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00286468,Study of Alogliptin Combined With Sulfonylurea in Subjects With Type 2 Diabetes Mellitus.,Phase 3,500,INDUSTRY,Takeda,2006-04-01,2007-06-01,14.0,2006.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,15,Multinational
NCT00436176,Improving Diabetes Care for African Americans,Phase 3,6000,OTHER,Harvard Vanguard Medical Associates,2007-06-01,2008-11-01,17.0,2007.0,RANDOMIZED,SINGLE (OUTCOMES_ASSESSOR),HEALTH_SERVICES_RESEARCH,PARALLEL,0,1,Single Country
NCT00727857,Efficacy and Safety of Pioglitazone and Metformin Combination Therapy in Treating Type 2 Diabetes Mellitus.,Phase 3,600,INDUSTRY,Takeda,2007-06-01,2008-08-01,14.0,2007.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,4,Multinational
NCT04588259,"Research Study to Compare a New Medicine ""Fast-acting Insulin Aspart"" to Another Medicine ""Insulin Aspart"" in Chinese People With Diabetes",Phase 3,331,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,2,Multinational
NCT01915550,Metformin as Adjuvant to Insulin Therapy in Insulin-resistant Diabetes Mellitus With Pregnancy,Phase 3,90,OTHER,Ain Shams University,2012-04-01,2013-02-01,10.1,2012.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT03707171,Effects of Liraglutide on the Cognitive Function in Patients With Type 2 Diabetes Mellitus,Phase 3,30,OTHER,Third Military Medical University,,,,,NON_RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00065130,Safety and Efficacy of Insulin Aspart vs. Regular Human Insulin in Gestational Diabetes,Phase 3,27,INDUSTRY,Novo Nordisk A/S,2000-04-01,2003-12-01,44.0,2000.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00286442,Efficacy and Safety of Alogliptin Combined With Metformin in Participants With Type 2 Diabetes Mellitus,Phase 3,527,INDUSTRY,Takeda,2006-03-01,2007-06-01,15.0,2006.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,17,Multinational
NCT01777282,A Study to Determine the Long Term Safety and Efficacy of Albiglutide in Combination With Oral Monotherapy Antihyperglycemic Medications in Japanese Patients With Type 2 Diabetes Mellitus,Phase 3,374,INDUSTRY,GlaxoSmithKline,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT04407182,Safety and Efficacy of Viusid and Asbrip in Hospitalized Patients Infected by SARS-Cov-2 With COVID-19,Phase 2,60,INDUSTRY,Catalysis SL,,,,,RANDOMIZED,"TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)",SUPPORTIVE_CARE,PARALLEL,0,1,Single Country
NCT02863328,Efficacy and Safety of Oral Semaglutide Versus Empagliflozin in Subjects With Type 2 Diabetes Mellitus,Phase 3,822,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,12,Multinational
NCT04974528,Afrezza® INHALE-1 Study in Pediatrics,Phase 3,319,INDUSTRY,Mannkind Corporation,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT01406717,Safety and Efficacy of SPIL1033 in Subjects With Type 2 Diabetes Mellitus,Phase 3,360,INDUSTRY,Sun Pharmaceutical Industries Limited,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT03466866,Reducing Emergency Diabetes Care for Older African Americans,Phase 3,156,OTHER,Thomas Jefferson University,,,,,RANDOMIZED,"DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)",HEALTH_SERVICES_RESEARCH,PARALLEL,0,1,Single Country
NCT00838825,Continuous Quality Improvement for Diabetes,Phase 2,10,OTHER,Santa Clara Valley Health & Hospital System,2005-04-01,2011-04-01,72.0,2005.0,RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,PARALLEL,0,0,Single Country
NCT01235039,A Study Evaluating the Bioequivalence of VIAject®7 Compared to VIAject®25 and Comparing the Pharmacokinetic and Pharmacodynamic Properties of VIAject®7 to Insulin Lispro in Subjects With Type 1 Diabetes Mellitus,Phase 1/2,43,INDUSTRY,Biodel,2009-07-01,2009-09-01,2.0,2009.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,CROSSOVER,0,1,Single Country
NCT01334125,Adjunctive Metformin Therapy in Double Diabetes,Phase 3,28,OTHER,"University of Massachusetts, Worcester",2011-02-01,2014-12-01,46.0,2011.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00993720,"Effect of GLP-1 on Insulin-dose, Risk of Hypoglycemia and Gastric Emptying Rate in Patients With Type 1 Diabetes",Phase 2/3,30,OTHER,Hvidovre University Hospital,2009-10-01,2010-10-01,12.0,2009.0,RANDOMIZED,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT01452113,Effect of Autonomic Neuropathy on the Efficacy of a DPP-IV Inhibitor (Galvus) Therapy,Phase 2,21,OTHER,"University Hospital, Toulouse",2010-10-01,2013-03-01,29.0,2010.0,NON_RANDOMIZED,NONE,BASIC_SCIENCE,PARALLEL,0,1,Single Country
NCT04161430,A Study to Evaluate the Efficacy and Safety of DBPR108 100 mg in Type 2 Diabetes Mellitus Patients,Phase 3,766,INDUSTRY,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01943045,Phase 2 Study of NGM282 in Patients With Type 2 Diabetes,Phase 2,81,INDUSTRY,"NGM Biopharmaceuticals, Inc",2013-09-01,2014-09-01,12.0,2013.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,FACTORIAL,1,2,Multinational
NCT01370707,A Study to Evaluate the Efficacy and Safety of CJ-30001 and CJ-30002 in Type 2 Diabetes Mellitus Patients,Phase 3,187,INDUSTRY,HK inno.N Corporation,2011-04-01,2012-07-01,15.0,2011.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT02529449,"Pharmacodynamics, Pharmacokinetics, and Safety of ASP1941 in Patients With Type 1 Diabetes Mellitus",Phase 2,43,INDUSTRY,Astellas Pharma Inc,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01719640,MSC and MC in Type 2 Diabetes Mellitus,Phase 1/2,22,OTHER,Fuzhou General Hospital,2011-01-01,2020-01-01,108.0,2011.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT02863419,Efficacy and Safety of Oral Semaglutide Versus Liraglutide and Versus Placebo in Subjects With Type 2 Diabetes Mellitus,Phase 3,711,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,13,Multinational
NCT03111433,Efficacy of Coenzyme q10 in Pediatrics With Type 1 Diabetes Mellitus,Phase 2,49,OTHER,Ain Shams University,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00291590,Diabetes Health Enhancement Program to Improve Health of People With Diabetes,Phase 3,146,OTHER,Robert Wood Johnson Foundation,2001-07-01,2003-08-01,25.0,2001.0,RANDOMIZED,NONE,ECT,PARALLEL,0,1,Single Country
NCT00335712,Pilot Study of ONO-5129 in Patients With Type 2 Diabetes Mellitus,Phase 2,81,INDUSTRY,Ono Pharma USA Inc,2006-06-01,,,2006.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,0,1,Single Country
NCT00871572,A Study for Participants With Type 2 Diabetes Mellitus,Phase 2,87,INDUSTRY,Eli Lilly and Company,2009-03-01,2010-02-01,11.1,2009.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,3,Multinational
NCT01890122,Efficacy and Safety of Alogliptin and Metformin Fixed-Dose Combination in Participants With Type 2 Diabetes,Phase 3,647,INDUSTRY,Takeda,2013-09-01,2015-10-01,25.0,2013.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,FACTORIAL,1,4,Multinational
NCT01472185,Ranolazine Monotherapy in Subjects With Type 2 Diabetes Mellitus,Phase 3,465,INDUSTRY,Gilead Sciences,2011-11-01,2013-10-01,23.0,2011.0,RANDOMIZED,"TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,10,Multinational
NCT02647320,12-Week Study of DS-8500a in Subjects With Type 2 Diabetes Mellitus on Metformin,Phase 2,298,INDUSTRY,Daiichi Sankyo,2016-01-01,,,2016.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,2,Multinational
