nct_number,study_title,phase,enrollment,funder_type,sponsor,start_date,completion_date,duration_months,start_year,allocation,masking,primary_purpose,intervention_model,is_multinational,country_count,scope
NCT01835431,A Trial Investigating the Efficacy and Safety of Insulin Degludec/Insulin Aspart Once Daily Plus Insulin Aspart for the Remaining Meals Versus Insulin Detemir Once or Twice Daily Plus Meal Time Insulin Aspart in Children and Adolescents With Type 1 Diabetes Mellitus,Phase 3,362,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,15,Multinational
NCT00094757,An Investigational Drug Study in Patients With Type 2 Diabetes Mellitus (MK0431-023),Phase 3,521,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT00420901,Effect of Chronic PDE5-Inhibition on Endothelial Function in Diabetics,Phase 3,30,OTHER,IRCCS San Raffaele,1999-01-01,2000-02-01,13.0,1999.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,0,1,Single Country
NCT00212641,A Phase II Study to Evaluate the Effects of Oral ONO-5129 in Type 2 Diabetes Mellitus,Phase 2,105,INDUSTRY,Ono Pharma USA Inc,2005-06-01,,,2005.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,0,1,Single Country
NCT00289848,MK0431 Monotherapy Study in Patients With Type 2 Diabetes Mellitus (0431-040),Phase 3,530,INDUSTRY,Merck Sharp & Dohme LLC,2006-03-01,2007-03-01,12.0,2006.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT00604253,Efficacy and Safety of Insulin Detemir in Type 2 Diabetes Inadequately Controlled on OHA Therapy Alone,Phase 3,362,INDUSTRY,Novo Nordisk A/S,2003-12-01,2005-05-01,17.0,2003.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT02059161,A Study of the Safety and Efficacy of MK-1293 Compared to Lantus™ in Participants With Type 1 Diabetes Mellitus (T1DM) (MK-1293-003),Phase 3,508,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,0,Single Country
NCT02144948,Investigation of the Effect of E.-Coli-Nissle as Supporting Therapy to Standard Care of Diabetes Mellitus Type II,Phase 3,10,OTHER,GWT-TUD GmbH,2014-08-01,2016-01-01,17.0,2014.0,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00789750,Colesevelam as Add-on to Pioglitazone Therapy for Type 2 Diabetes Mellitus,Phase 3,562,INDUSTRY,Daiichi Sankyo,2009-04-01,2012-07-01,39.0,2009.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00266240,A Study of GK Activator (2) in Patients With Type 2 Diabetes Mellitus,Phase 2,267,INDUSTRY,Hoffmann-La Roche,2005-11-01,2007-05-01,17.9,2005.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,7,Multinational
NCT05439473,Evaluation of the Efficacy and Safety of Curalin as Add-On Therapy in Adults With Type 2 Diabetes Mellitus,Phase 2,51,INDUSTRY,CuraLife,,,,,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT02294474,Comparison of SAR342434 to Humalog as the Rapid Acting Insulin in Adult Patients With Type 2 Diabetes Mellitus Also Using Insulin Glargine,Phase 3,505,INDUSTRY,Sanofi,2015-01-01,2016-02-01,13.0,2015.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,12,Multinational
NCT02585674,Comparison of MyStar DoseCoach to Routine Titration in Adult Patients With Type 2 Diabetes Mellitus Using Toujeo,Phase 3,151,INDUSTRY,Sanofi,2015-12-01,2016-11-01,11.0,2015.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,2,Multinational
NCT00645840,Anti-inflammatory Therapy With Anakinra in Newly Diagnosed Type 1 Diabetes,Phase 1/2,15,OTHER,University of Texas Southwestern Medical Center,2008-03-01,2009-09-01,18.0,2008.0,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00490854,A Study for Patients With Type 2 Diabetes Mellitus,Phase 2/3,129,INDUSTRY,Eli Lilly and Company,2007-07-01,2008-05-01,10.0,2007.0,RANDOMIZED,NONE,TREATMENT,CROSSOVER,0,1,Single Country
NCT01060917,Glucose Clamp Study to Prove Hypo- and Hyperglycemic Episodes Using a Non-invasive Glucose Monitoring Device,Phase 1/2,21,INDUSTRY,Profil Institut für Stoffwechselforschung GmbH,2003-01-01,2003-05-01,3.9,2003.0,NON_RANDOMIZED,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT02926937,Efficacy and Safety of Sotagliflozin Versus Placebo in Patients With Type 2 Diabetes Mellitus Not Currently Treated With Antidiabetic Therapy,Phase 3,399,INDUSTRY,Lexicon Pharmaceuticals,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,3,Multinational
NCT00562133,Effect of Insulin Glulisine vs Regular Human Insulin on Postprandial Endothelial Function in Type 2 Diabetes,Phase 3,15,OTHER,IKFE Institute for Clinical Research and Development,2006-12-01,2007-03-01,3.0,2006.0,RANDOMIZED,NONE,TREATMENT,CROSSOVER,0,1,Single Country
NCT00445354,Randomized Controlled Clinical Trial of Cinnamon to Lower Hemoglobin A1c,Phase 3,109,FED,Eglin AFB Regional Hospital,2007-03-01,2007-08-01,5.0,2007.0,RANDOMIZED,SINGLE,TREATMENT,PARALLEL,0,1,Single Country
NCT00296374,Prospective Evaluation of Proteinuria and Renal Function in Diabetic Patients With Progressive Renal Disease,Phase 2,353,INDUSTRY,AstraZeneca,2006-02-01,2009-03-01,36.9,2006.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,11,Multinational
NCT00290927,Efficacy and Safety of Insulin Glulisine in Type 2 Diabetes Mellitus,Phase 3,390,INDUSTRY,Sanofi,2003-12-01,,,2003.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
